Campaign,Link Text,Description 1,Description 2,Final URL
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,Puxadores de Inox,Modelos escovados e polidos,Atacado para marceneiros,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,Puxadores de Aluminio,Tubular e perfil,Varios tamanhos em estoque,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,Faca seu Orcamento,Resposta em ate 1 hora,Sem compromisso,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | PUXADORES | LEADS,Fale pelo WhatsApp,Atendimento imediato,Tire suas duvidas agora,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,MDF Cru,Chapas 15mm e 18mm,Preco de distribuidor,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,MDF Revestido (BP),Melanina e formica,Varios acabamentos,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,Tabela de Precos,Precos atualizados,Validos para atacado,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | MDF | LEADS,Solicitar Orcamento,Rapido e sem burocracia,Respondemos rapido,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,Dobradicas,"Caneco, hidraulica, oculta",Estoque disponivel,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,Corredicas,Telescopica e soft close,Varios tamanhos,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,Catalogo Completo,Todos os produtos,Ferragens para marcenaria,https://cmarceneiro.com.br/
[w] CMARCENEIRO | GG | SEARCH | FERRAGENS | LEADS,Fale com Consultor,Atendimento especializado,Resposta rapida,https://cmarceneiro.com.br/
